sku,name,category,stock,price,supplier,reorderPoint,dailySales,weeklySales,brand,leadTime,depot,image
SNK-001,Nike Air Max 270,Sneakers,150,180,Nike Inc,30,8,56,Nike,7,Parth's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-002,Adidas Ultraboost 22,Sneakers,120,200,Adidas Corp,25,7,49,Adidas,7,Animesh's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-003,Puma RS-X,Sneakers,200,95,Puma Global,40,10,70,Puma,5,Parth's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-004,New Balance 990v5,Sneakers,80,185,New Balance,20,5,35,New Balance,10,Abhay's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-005,Reebok Classic Leather,Sneakers,180,75,Reebok Ltd,35,9,63,Reebok,6,Animesh's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
APP-001,Levi's 501 Jeans,Apparel,250,89,Levi Strauss,50,12,84,Levi's,8,Parth's Depot,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400
APP-002,Nike Dri-FIT T-Shirt,Apparel,300,35,Nike Inc,60,15,105,Nike,5,Animesh's Depot,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400
APP-003,Zara Slim Fit Shirt,Apparel,150,55,Zara Fashion,30,8,56,Zara,12,Aayush's Depot,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400
APP-004,H&M Cotton Hoodie,Apparel,200,45,H&M Group,40,10,70,H&M,7,Abhay's Depot,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400
APP-005,Uniqlo Down Jacket,Apparel,100,120,Uniqlo Co,20,6,42,Uniqlo,14,Parth's Depot,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400
ACC-001,Ray-Ban Aviator Sunglasses,Accessories,180,150,Luxottica,35,9,63,Ray-Ban,10,Animesh's Depot,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400
ACC-002,Fossil Leather Wallet,Accessories,220,65,Fossil Group,45,11,77,Fossil,6,Aayush's Depot,https://images.unsplash.com/photo-1627123424574-724758594e93?w=400
ACC-003,Michael Kors Handbag,Accessories,90,280,Capri Holdings,18,4,28,Michael Kors,15,Parth's Depot,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400
ACC-004,Apple Watch Band,Accessories,350,49,Apple Inc,70,18,126,Apple,5,Animesh's Depot,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=400
ACC-005,Casio Digital Watch,Accessories,160,85,Casio Corp,32,8,56,Casio,8,Abhay's Depot,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400
ELC-001,Sony WH-1000XM5 Headphones,Electronics,120,399,Sony Corp,25,6,42,Sony,12,Parth's Depot,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400
ELC-002,Samsung Galaxy Buds Pro,Electronics,200,199,Samsung,40,10,70,Samsung,7,Animesh's Depot,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400
ELC-003,Logitech MX Master 3,Electronics,150,99,Logitech,30,8,56,Logitech,5,Aayush's Depot,https://images.unsplash.com/photo-1527814050087-3793815479db?w=400
ELC-004,Apple AirPods Pro,Electronics,180,249,Apple Inc,36,9,63,Apple,10,Abhay's Depot,https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7?w=400
ELC-005,Anker PowerCore 20000,Electronics,250,45,Anker Tech,50,12,84,Anker,6,Parth's Depot,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400
SPT-001,Wilson Basketball,Sports,140,35,Wilson Sporting,28,7,49,Wilson,8,Animesh's Depot,https://images.unsplash.com/photo-1519861531473-9200262188bf?w=400
SPT-002,Nike Soccer Ball,Sports,160,45,Nike Inc,32,8,56,Nike,7,Parth's Depot,https://images.unsplash.com/photo-1614632537197-38a17061c2bd?w=400
SPT-003,Spalding NBA Basketball,Sports,100,55,Spalding,20,5,35,Spalding,10,Aayush's Depot,https://images.unsplash.com/photo-1546519638-68e109498ffc?w=400
SPT-004,Adidas Yoga Mat,Sports,200,30,Adidas Corp,40,10,70,Adidas,5,Abhay's Depot,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400
SPT-005,TRX Suspension Trainer,Sports,80,189,TRX Training,16,4,28,TRX,14,Animesh's Depot,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=400
HOM-001,Dyson V11 Vacuum,Home Goods,60,599,Dyson Ltd,12,3,21,Dyson,15,Parth's Depot,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400
HOM-002,Philips Air Fryer,Home Goods,110,129,Philips,22,6,42,Philips,10,Animesh's Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400
HOM-003,Nespresso Coffee Maker,Home Goods,85,199,Nespresso,17,4,28,Nespresso,12,Aayush's Depot,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?w=400
HOM-004,KitchenAid Stand Mixer,Home Goods,70,379,KitchenAid,14,3,21,KitchenAid,14,Abhay's Depot,https://images.unsplash.com/photo-1578643463396-0997cb5328c1?w=400
HOM-005,iRobot Roomba 694,Home Goods,90,274,iRobot,18,5,35,iRobot,10,Parth's Depot,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400
AUT-001,Bosch Car Battery,Automotive,120,149,Bosch Auto,24,6,42,Bosch,8,Animesh's Depot,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=400
AUT-002,Michelin Tire Set,Automotive,80,599,Michelin,16,4,28,Michelin,15,Parth's Depot,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400
AUT-003,Castrol Engine Oil 5W-30,Automotive,300,35,Castrol,60,15,105,Castrol,5,Aayush's Depot,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=400
AUT-004,3M Car Wax Polish,Automotive,180,25,3M Company,36,9,63,3M,6,Abhay's Depot,https://images.unsplash.com/photo-1607860108855-64acf2078ed9?w=400
AUT-005,Garmin GPS Navigator,Automotive,100,199,Garmin,20,5,35,Garmin,12,Animesh's Depot,https://images.unsplash.com/photo-1526368746824-4e9b5d6e8b60?w=400
SNK-006,Jordan Retro 1 High,Sneakers,95,170,Nike Inc,19,5,35,Jordan,10,Parth's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-007,Converse Chuck Taylor,Sneakers,220,60,Converse,44,11,77,Converse,6,Animesh's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-008,Vans Old Skool,Sneakers,190,65,Vans Inc,38,10,70,Vans,7,Aayush's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-009,Asics Gel-Kayano 28,Sneakers,130,160,Asics Corp,26,7,49,Asics,9,Abhay's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-010,Under Armour HOVR,Sneakers,140,120,Under Armour,28,7,49,Under Armour,8,Parth's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
APP-006,Tommy Hilfiger Polo,Apparel,170,75,Tommy Hilfiger,34,9,63,Tommy Hilfiger,10,Animesh's Depot,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400
APP-007,Calvin Klein Underwear,Apparel,280,29,Calvin Klein,56,14,98,Calvin Klein,5,Aayush's Depot,https://images.unsplash.com/photo-1489987707025-afc232f7ea0f?w=400
APP-008,Ralph Lauren Sweater,Apparel,110,135,Ralph Lauren,22,6,42,Ralph Lauren,12,Abhay's Depot,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=400
APP-009,Gap Chino Pants,Apparel,190,59,Gap Inc,38,10,70,Gap,7,Parth's Depot,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400
APP-010,North Face Fleece,Apparel,125,99,The North Face,25,6,42,North Face,11,Animesh's Depot,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400
ACC-006,Oakley Sports Sunglasses,Accessories,140,180,Luxottica,28,7,49,Oakley,9,Aayush's Depot,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400
ACC-007,Tumi Travel Backpack,Accessories,75,295,Tumi Inc,15,4,28,Tumi,14,Abhay's Depot,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400
ACC-008,Timex Expedition Watch,Accessories,200,89,Timex Group,40,10,70,Timex,6,Parth's Depot,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400
ACC-009,Herschel Supply Wallet,Accessories,240,35,Herschel,48,12,84,Herschel,5,Animesh's Depot,https://images.unsplash.com/photo-1627123424574-724758594e93?w=400
ACC-010,Bellroy Card Sleeve,Accessories,190,49,Bellroy,38,10,70,Bellroy,7,Aayush's Depot,https://images.unsplash.com/photo-1627123424574-724758594e93?w=400
ELC-006,Bose SoundLink Speaker,Electronics,130,149,Bose Corp,26,7,49,Bose,10,Abhay's Depot,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400
ELC-007,GoPro HERO11 Black,Electronics,85,499,GoPro Inc,17,4,28,GoPro,12,Parth's Depot,https://images.unsplash.com/photo-1606941369e88-8dfdd5b1e87e?w=400
ELC-008,Kindle Paperwhite,Electronics,160,139,Amazon,32,8,56,Kindle,8,Animesh's Depot,https://images.unsplash.com/photo-1592496431122-2349e0fbc666?w=400
ELC-009,Fitbit Charge 5,Electronics,175,149,Fitbit,35,9,63,Fitbit,7,Aayush's Depot,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400
