sku,name,category,stock,price,supplier,reorderPoint,dailySales,weeklySales,brand,leadTime,depot,image,riskLevel,stockoutIn,reorderQty
ELE-001,"Electronics Item 1",Electronics,12,102,"Curated Supplier",40,5,35,"Premium Brand",7,"Animesh's Depot",https://images.unsplash.com/photo-1526509867162-5b0c0d1b4b33?w=400&q=80,HIGH RISK,3,80
APP-002,"Apparel Item 2",Apparel,150,453,"Curated Supplier",30,5,35,"Premium Brand",7,"Aayush's Depot",https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&q=80,SAFE,30,60
ACC-003,"Accessories Item 3",Accessories,12,160,"Curated Supplier",40,5,35,"Premium Brand",7,"Abhay's Depot",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400&q=80,HIGH RISK,3,80
SNE-004,"Sneakers Item 4",Sneakers,45,363,"Curated Supplier",40,5,35,"Premium Brand",7,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,MEDIUM,9,80
ELE-005,"Electronics Item 5",Electronics,45,493,"Curated Supplier",40,5,35,"Premium Brand",7,"Animesh's Depot",https://images.unsplash.com/photo-1583394838336-acd97773cf1f?w=400&q=80,MEDIUM,9,80
APP-006,"Apparel Item 6",Apparel,45,427,"Curated Supplier",40,5,35,"Premium Brand",7,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,MEDIUM,9,80
ACC-007,"Accessories Item 7",Accessories,150,194,"Curated Supplier",30,5,35,"Premium Brand",7,"Abhay's Depot",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400&q=80,SAFE,30,60
SNE-008,"Sneakers Item 8",Sneakers,150,456,"Curated Supplier",30,5,35,"Premium Brand",7,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,SAFE,30,60
ELE-009,"Electronics Item 9",Electronics,150,484,"Curated Supplier",30,5,35,"Premium Brand",7,"Animesh's Depot",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&q=80,SAFE,30,60
APP-010,"Apparel Item 10",Apparel,12,376,"Curated Supplier",40,5,35,"Premium Brand",7,"Aayush's Depot",https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=400&q=80,HIGH RISK,3,80
ACC-011,"Accessories Item 11",Accessories,12,177,"Curated Supplier",40,5,35,"Premium Brand",7,"Abhay's Depot",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400&q=80,HIGH RISK,3,80
SNE-012,"Sneakers Item 12",Sneakers,12,186,"Curated Supplier",40,5,35,"Premium Brand",7,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,HIGH RISK,3,80
ELE-013,"Electronics Item 13",Electronics,12,53,"Curated Supplier",40,5,35,"Premium Brand",7,"Animesh's Depot",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&q=80,HIGH RISK,3,80
APP-014,"Apparel Item 14",Apparel,45,51,"Curated Supplier",40,5,35,"Premium Brand",7,"Aayush's Depot",https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&q=80,MEDIUM,9,80
ACC-015,"Accessories Item 15",Accessories,12,101,"Curated Supplier",40,5,35,"Premium Brand",7,"Abhay's Depot",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400&q=80,HIGH RISK,3,80
SNE-016,"Sneakers Item 16",Sneakers,150,100,"Curated Supplier",30,5,35,"Premium Brand",7,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,SAFE,30,60
ELE-017,"Electronics Item 17",Electronics,45,183,"Curated Supplier",40,5,35,"Premium Brand",7,"Animesh's Depot",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&q=80,MEDIUM,9,80
APP-018,"Apparel Item 18",Apparel,150,395,"Curated Supplier",30,5,35,"Premium Brand",7,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,SAFE,30,60
ACC-019,"Accessories Item 19",Accessories,12,287,"Curated Supplier",40,5,35,"Premium Brand",7,"Abhay's Depot",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400&q=80,HIGH RISK,3,80
SNE-020,"Sneakers Item 20",Sneakers,150,365,"Curated Supplier",30,5,35,"Premium Brand",7,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,SAFE,30,60
ELE-021,"Electronics Item 21",Electronics,150,74,"Curated Supplier",30,5,35,"Premium Brand",7,"Animesh's Depot",https://images.unsplash.com/photo-1491933382434-500287f9b54b?w=400&q=80,SAFE,30,60
APP-022,"Apparel Item 22",Apparel,150,427,"Curated Supplier",30,5,35,"Premium Brand",7,"Aayush's Depot",https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=400&q=80,SAFE,30,60
