sku,name,category,stock,price,supplier,reorderPoint,dailySales,weeklySales,brand,leadTime,depot,image,riskLevel,stockoutIn,reorderQty
ELE-001,"GoPro HERO 11 Black",Electronics,12,399,TechSource,40,6,42,GoPro,7,"Animesh's Depot",https://images.unsplash.com/photo-1519389950473-47ba0277781c?w=400&q=80,HIGH RISK,2,80
ELE-002,"NVIDIA GeForce RTX 4070",Electronics,8,599,TechSource,35,4,28,NVIDIA,14,"Animesh's Depot",https://images.unsplash.com/photo-1591488320449-011701bb6704?w=400&q=80,HIGH RISK,2,70
ELE-003,"AMD Ryzen 7 5800X CPU",Electronics,45,299,TechSource,40,5,35,AMD,10,"Animesh's Depot",https://images.unsplash.com/photo-1555617981-dac3880eac6e?w=400&q=80,MEDIUM,9,80
ELE-004,"Logitech C920 HD Webcam",Electronics,150,79,TechSource,30,8,56,Logitech,5,"Animesh's Depot",https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04?w=400&q=80,SAFE,19,60
ELE-005,"SanDisk 1TB SSD",Electronics,95,89,TechSource,30,7,49,SanDisk,7,"Animesh's Depot",https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400&q=80,MEDIUM,14,60
ELE-006,"Corsair Vengeance 16GB RAM",Electronics,120,69,TechSource,30,9,63,Corsair,5,"Animesh's Depot",https://images.unsplash.com/photo-1541029071515-84cc54f84dc5?w=400&q=80,SAFE,13,60
ELE-007,"TP-Link AC1750 WiFi Router",Electronics,180,59,TechSource,25,10,70,TP-Link,5,"Animesh's Depot",https://images.unsplash.com/photo-1606904825846-647eb07f5be2?w=400&q=80,SAFE,18,50
ELE-008,"Seagate 2TB External Drive",Electronics,140,64,TechSource,30,8,56,Seagate,7,"Animesh's Depot",https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400&q=80,SAFE,18,60
ELE-009,"Anker 7-in-1 USB-C Hub",Electronics,200,45,TechSource,20,12,84,Anker,3,"Animesh's Depot",https://images.unsplash.com/photo-1625948515291-69613efd103f?w=400&q=80,SAFE,17,40
ELE-010,"Blue Yeti USB Microphone",Electronics,15,129,AudioPro,40,6,42,Blue,7,"Animesh's Depot",https://images.unsplash.com/photo-1590602847861-f357a9332bbc?w=400&q=80,HIGH RISK,3,80
ELE-011,"Razer BlackWidow Keyboard",Electronics,65,139,TechSource,35,7,49,Razer,7,"Animesh's Depot",https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400&q=80,MEDIUM,9,70
ELE-012,"HyperX Cloud II Headset",Electronics,85,99,TechSource,30,8,56,HyperX,5,"Animesh's Depot",https://images.unsplash.com/photo-1599669454699-248893623440?w=400&q=80,MEDIUM,11,60
ELE-013,"Elgato Stream Deck",Electronics,18,149,TechSource,40,5,35,Elgato,10,"Animesh's Depot",https://images.unsplash.com/photo-1625948515291-69613efd103f?w=400&q=80,HIGH RISK,4,80
ELE-014,"Western Digital 4TB HDD",Electronics,110,99,TechSource,30,6,42,Western Digital,7,"Animesh's Depot",https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400&q=80,SAFE,18,60
ELE-015,"ASUS TUF 24-inch Monitor",Electronics,35,189,TechSource,35,4,28,ASUS,10,"Animesh's Depot",https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400&q=80,MEDIUM,9,70
ELE-016,"Belkin 12-Outlet Surge Protector",Electronics,190,34,TechSource,25,11,77,Belkin,3,"Animesh's Depot",https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400&q=80,SAFE,17,50
ELE-017,"Sony DualSense Controller",Electronics,75,69,GameWorld,30,8,56,Sony,7,"Animesh's Depot",https://images.unsplash.com/photo-1592840496694-26d035b52b48?w=400&q=80,MEDIUM,9,60
ELE-018,"Microsoft Xbox Controller",Electronics,90,59,GameWorld,30,9,63,Microsoft,5,"Animesh's Depot",https://images.unsplash.com/photo-1592840496694-26d035b52b48?w=400&q=80,MEDIUM,10,60
ELE-019,"Nintendo Ring Fit Adventure",Electronics,12,79,GameWorld,40,7,49,Nintendo,7,"Animesh's Depot",https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=400&q=80,HIGH RISK,2,80
ELE-020,"Crucial MX500 500GB SSD",Electronics,130,54,TechSource,30,8,56,Crucial,5,"Animesh's Depot",https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400&q=80,SAFE,16,60
APP-021,"Drew House Sweatshirt",Apparel,14,88,StyleHub,40,6,42,Drew House,10,"Aayush's Depot",https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400&q=80,HIGH RISK,3,80
APP-022,"Gildan Heavy Cotton T-Shirt",Apparel,220,12,FashionFirst,20,18,126,Gildan,3,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,SAFE,12,40
APP-023,"Hanes ComfortBlend Hoodie",Apparel,180,24,FashionFirst,25,14,98,Hanes,5,"Aayush's Depot",https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400&q=80,SAFE,13,50
