sku,name,category,brand,price,stock,reorderPoint,supplier,leadTime,dailySales,weeklySales,depotName,depotLocation
ACC-2956-01,Fossil Accessorie Model-1,Accessories,Fossil,2781,0,97,Elite Distributors,6,13.6,101.0,Kolkata West,"Kolkata, WB"
SNE-1149-02,Puma Sneaker Model-2,Sneakers,Puma,10584,0,84,Elite Distributors,7,10.1,73.5,Mumbai Central,"Mumbai, MH"
ELE-7211-03,Samsung Electronic Model-3,Electronics,Samsung,4563,0,104,Elite Distributors,8,10.9,68.9,Delhi North,"Delhi, DL"
HOM-6162-04,Dyson Home Good Model-4,Home Goods,Dyson,9661,0,103,Value Wholesale,7,12.3,87.7,Mumbai Central,"Mumbai, MH"
SNE-6915-05,Reebok Sneaker Model-5,Sneakers,Reebok,11570,0,140,Direct Supply Co.,8,14.6,108.8,Bangalore East,"Bangalore, KA"
SPO-7533-06,Spalding Sport Model-6,Sports,Spalding,14429,21,39,Value Wholesale,10,3.3,25.3,Mumbai Central,"Mumbai, MH"
ACC-3041-07,Michael Kors Accessorie Model-7,Accessories,Michael Kors,5023,46,277,Direct Supply Co.,12,19.3,126.6,Delhi North,"Delhi, DL"
SNE-1664-08,Adidas Sneaker Model-8,Sneakers,Adidas,4656,12,106,Direct Supply Co.,12,7.4,46.6,Mumbai Central,"Mumbai, MH"
ELE-6262-09,Logitech Electronic Model-9,Electronics,Logitech,1353,23,59,Value Wholesale,6,8.2,52.4,Bangalore East,"Bangalore, KA"
HOM-8754-10,IKEA Home Good Model-10,Home Goods,IKEA,599,39,111,Direct Supply Co.,10,9.3,60.0,Mumbai Central,"Mumbai, MH"
ELE-3531-11,Apple Electronic Model-11,Electronics,Apple,7726,41,73,Global Logistics,6,10.2,69.7,Mumbai Central,"Mumbai, MH"
SNE-2954-12,Nike Sneaker Model-12,Sneakers,Nike,10779,40,65,Direct Supply Co.,7,7.8,50.4,Delhi North,"Delhi, DL"
ELE-5445-13,Apple Electronic Model-13,Electronics,Apple,3798,59,89,Global Logistics,12,6.2,39.7,Kolkata West,"Kolkata, WB"
SNE-5741-14,Nike Sneaker Model-14,Sneakers,Nike,14685,20,69,Value Wholesale,6,9.6,62.2,Mumbai Central,"Mumbai, MH"
ACC-8357-15,Casio Accessorie Model-15,Accessories,Casio,2010,56,85,Direct Supply Co.,6,11.9,83.1,Bangalore East,"Bangalore, KA"
ELE-6187-16,Logitech Electronic Model-16,Electronics,Logitech,11820,24,51,Global Logistics,5,8.5,64.9,Mumbai Central,"Mumbai, MH"
HOM-4082-17,KitchenAid Home Good Model-17,Home Goods,KitchenAid,6193,11,56,Global Logistics,7,6.7,44.9,Delhi North,"Delhi, DL"
APP-5437-18,Zara Apparel Model-18,Apparel,Zara,8520,12,91,Elite Distributors,6,12.7,97.0,Kolkata West,"Kolkata, WB"
ACC-4972-19,Fossil Accessorie Model-19,Accessories,Fossil,13418,7,84,Direct Supply Co.,12,5.9,40.2,Mumbai Central,"Mumbai, MH"
ACC-1836-20,Ray-Ban Accessorie Model-20,Accessories,Ray-Ban,1955,93,159,Direct Supply Co.,12,11.1,77.2,Kolkata West,"Kolkata, WB"
ELE-8339-21,Dell Electronic Model-21,Electronics,Dell,13195,127,115,Prime Importers,7,13.8,97.4,Mumbai Central,"Mumbai, MH"
ELE-8118-22,Sony Electronic Model-22,Electronics,Sony,1280,166,128,Value Wholesale,10,10.7,75.6,Delhi North,"Delhi, DL"
SPO-5444-23,Spalding Sport Model-23,Sports,Spalding,12974,140,125,Prime Importers,12,8.7,62.1,Kolkata West,"Kolkata, WB"
ELE-5063-24,Apple Electronic Model-24,Electronics,Apple,11313,176,142,Global Logistics,12,9.9,75.5,Bangalore East,"Bangalore, KA"
APP-4849-25,Gucci Apparel Model-25,Apparel,Gucci,3297,37,32,Value Wholesale,5,5.4,40.9,Bangalore East,"Bangalore, KA"
ELE-5859-26,Logitech Electronic Model-26,Electronics,Logitech,2427,367,267,Global Logistics,12,18.6,130.2,Mumbai Central,"Mumbai, MH"
SNE-2656-27,Adidas Sneaker Model-27,Sneakers,Adidas,8535,124,114,Direct Supply Co.,8,11.9,81.9,Bangalore East,"Bangalore, KA"
