order_id,supplier,category,order_date,promised_date,actual_date,ordered_qty,delivered_qty,rejected_qty,base_price,actual_price,complaints,payment_status,delay_days,fulfillment_ratio,rejection_ratio,price_deviation,delay_trend,complaint_frequency,payment_risk
ORD-1296,Alpha Parts,Fasteners,2023-01-05,2023-01-16,2023-01-16,736,441,22,38,40.05605025030419,0,On-Time,0,0.5991847826086957,0.049886621315192746,0.05410658553432076,0.0,0.0,0
ORD-1164,Alpha Parts,Fasteners,2023-01-20,2023-02-03,2023-02-11,614,491,73,90,102.33119876158308,1,On-Time,8,0.7996742671009772,0.14867617107942974,0.13701331957314536,4.0,1.0,0
ORD-1082,Alpha Parts,Packaging,2023-01-31,2023-02-14,2023-02-19,759,759,75,81,88.00311488733912,0,On-Time,5,1.0,0.09881422924901186,0.08645820848566818,4.333333333333333,1.0,0
ORD-1318,Alpha Parts,Electronics,2023-02-04,2023-02-16,2023-02-28,671,469,46,42,40.804204822817134,0,On-Time,12,0.698956780923994,0.09808102345415778,-0.028471313742449194,8.333333333333334,1.0,0
ORD-1037,Alpha Parts,Machinery,2023-02-09,2023-02-20,2023-03-07,222,133,13,40,39.28023879612928,0,On-Time,15,0.5990990990990991,0.09774436090225563,-0.017994030096767942,10.666666666666666,1.0,0
ORD-1283,Alpha Parts,Fasteners,2023-02-13,2023-02-26,2023-03-03,697,418,62,63,63.60578300918646,0,On-Time,5,0.599713055954089,0.14832535885167464,0.009615603320420003,10.666666666666666,1.0,0
ORD-1988,Alpha Parts,Electronics,2023-02-25,2023-03-02,2023-03-17,747,448,89,65,66.32478523292193,0,On-Time,15,0.5997322623828648,0.19866071428571427,0.020381311275721934,11.666666666666666,0.0,0
ORD-1885,Alpha Parts,Fasteners,2023-03-04,2023-03-15,2023-03-20,869,695,69,49,50.80468789444366,0,On-Time,5,0.7997698504027618,0.09928057553956834,0.036830365192727754,8.333333333333334,0.0,0
ORD-1777,Alpha Parts,Packaging,2023-03-07,2023-03-13,2023-03-25,426,255,38,73,69.43670244333089,0,Under Review,12,0.5985915492957746,0.14901960784313725,-0.048812295296837165,10.666666666666666,0.0,1
ORD-1482,Alpha Parts,Chemicals,2023-03-11,2023-03-21,2023-03-26,446,267,13,52,59.29090835143632,0,On-Time,5,0.5986547085201793,0.04868913857677903,0.14020977598916004,7.333333333333333,0.0,0
ORD-1606,Alpha Parts,Tools,2023-03-13,2023-03-24,2023-04-08,929,650,65,89,91.00683158175136,0,Delayed,15,0.6996770721205597,0.1,0.02254866945788041,10.666666666666666,0.0,2
ORD-1146,Alpha Parts,Packaging,2023-03-14,2023-03-25,2023-04-02,507,507,50,34,33.05240847058397,0,On-Time,8,1.0,0.09861932938856016,-0.027870339100471476,9.333333333333334,0.0,0
ORD-1821,Alpha Parts,Fasteners,2023-03-17,2023-03-31,2023-04-12,686,548,27,48,49.28436865364075,0,On-Time,12,0.7988338192419825,0.04927007299270073,0.02675768028418224,11.666666666666666,0.0,0
ORD-1388,Alpha Parts,Chemicals,2023-03-29,2023-04-07,2023-04-07,568,454,68,93,97.90463190380488,0,On-Time,0,0.7992957746478874,0.14977973568281938,0.052737977460267565,6.666666666666667,0.0,0
ORD-1773,Alpha Parts,Electronics,2023-04-29,2023-05-04,2023-05-09,142,85,12,68,75.86903328534936,0,On-Time,5,0.5985915492957746,0.1411764705882353,0.11572107772572589,5.666666666666667,0.0,0
ORD-1581,Alpha Parts,Components,2023-05-02,2023-05-08,2023-05-08,217,217,43,59,66.98856424343255,0,On-Time,0,1.0,0.19815668202764977,0.13539939395648387,1.6666666666666667,0.0,0
ORD-1098,Alpha Parts,Packaging,2023-05-03,2023-05-13,2023-05-28,538,322,32,92,90.48894785233011,0,On-Time,15,0.5985130111524164,0.09937888198757763,-0.016424479865977025,6.666666666666667,0.0,0
ORD-1002,Alpha Parts,Electronics,2023-05-06,2023-05-14,2023-05-14,714,714,35,30,29.52745277670188,0,On-Time,0,1.0,0.049019607843137254,-0.015751574109937275,5.0,0.0,0
ORD-1651,Alpha Parts,Components,2023-05-13,2023-05-24,2023-05-29,510,408,81,86,89.08308029329685,0,Delayed,5,0.8,0.19852941176470587,0.0358497708522889,6.666666666666667,0.0,2
ORD-1966,Alpha Parts,Raw Materials,2023-05-14,2023-05-22,2023-06-03,665,465,23,61,62.18215146122755,1,On-Time,12,0.6992481203007519,0.04946236559139785,0.019379532151271278,5.666666666666667,1.0,0
ORD-1249,Alpha Parts,Machinery,2023-05-19,2023-06-02,2023-06-10,349,279,55,96,94.71833986349534,0,On-Time,8,0.7994269340974212,0.1971326164874552,-0.013350626421923492,8.333333333333334,1.0,0
ORD-1189,Alpha Parts,Raw Materials,2023-06-11,2023-06-23,2023-06-23,364,254,12,32,34.85520518027142,0,Under Review,0,0.6978021978021978,0.047244094488188976,0.08922516188348184,6.666666666666667,1.0,1
ORD-1672,Alpha Parts,Electronics,2023-06-13,2023-06-19,2023-06-27,293,234,23,75,77.53656565127301,0,On-Time,8,0.7986348122866894,0.09829059829059829,0.03382087535030678,5.333333333333333,1.0,0
ORD-1723,Alpha Parts,Packaging,2023-06-16,2023-06-21,2023-06-21,559,391,39,79,90.75989007748645,0,On-Time,0,0.6994633273703041,0.09974424552429667,0.1488593680694487,2.6666666666666665,1.0,0
ORD-1167,Alpha Parts,Chemicals,2023-06-28,2023-07-07,2023-07-07,321,224,11,81,82.68923748581258,0,Delayed,0,0.6978193146417445,0.049107142857142856,0.020854783775463993,2.6666666666666665,0.0,2
ORD-1437,Alpha Parts,Chemicals,2023-07-04,2023-07-15,2023-07-15,150,105,10,97,111.11998455309904,0,Under Review,0,0.7,0.09523809523809523,0.14556685106287676,0.0,0.0,1
ORD-1485,Alpha Parts,Electronics,2023-07-24,2023-08-02,2023-08-14,458,274,13,36,39.26284037653097,0,On-Time,12,0.5982532751091703,0.04744525547445255,0.09063445490363797,4.0,0.0,0
ORD-1290,Alpha Parts,Packaging,2023-07-31,2023-08-07,2023-08-07,348,348,69,94,96.26924613219856,0,On-Time,0,1.0,0.19827586206896552,0.024140916299984685,4.0,0.0,0
ORD-1118,Alpha Parts,Components,2023-08-05,2023-08-12,2023-08-17,575,575,57,51,53.13079727186916,0,On-Time,5,1.0,0.09913043478260869,0.04178033866410123,5.666666666666667,0.0,0
ORD-1307,Alpha Parts,Packaging,2023-08-27,2023-09-04,2023-09-09,474,474,47,14,14.618694814314075,0,Under Review,5,1.0,0.09915611814345991,0.04419248673671967,3.3333333333333335,0.0,1
ORD-1796,Alpha Parts,Machinery,2023-08-28,2023-09-02,2023-09-14,449,314,31,64,68.37509220333833,0,On-Time,12,0.6993318485523385,0.09872611464968153,0.06836081567716135,7.333333333333333,0.0,0
ORD-1436,Alpha Parts,Tools,2023-08-30,2023-09-12,2023-09-12,783,626,125,50,49.01061164931926,0,On-Time,0,0.7994891443167306,0.19968051118210864,-0.019787767013614826,5.666666666666667,0.0,0
ORD-1331,Alpha Parts,Raw Materials,2023-09-07,2023-09-18,2023-10-03,920,736,110,39,38.01174793750307,0,On-Time,15,0.8,0.14945652173913043,-0.025339796474280335,9.0,0.0,0
ORD-1894,Alpha Parts,Electronics,2023-09-28,2023-10-05,2023-10-05,617,493,73,97,96.482853276337,0,Under Review,0,0.7990275526742301,0.14807302231237324,-0.005331409522299007,5.0,0.0,1
